Code,Title,Credits,Grading,Semesters Offered,Prerequisites,Corequisites,Crosslisted,Distribution Category,Breadth Requirement,Forbidden Overlap,Description
ALS 2100,Teams and Leaders in Action,3,Graded,Summer,,,,(KCM) (SBA),,,"What do effective leaders do? How do they think? How do they overcome challenges? How does your personality affect your ability to lead, and how can you use aspects of your personality to help others and yourself? This course examines the habits of thought and practice of exceptional leaders, past and present, to equip the student to lead in an increasingly complex, connected, and diverse world. The course consists of nearly equal parts theory, philosophy, practice, and historical case study. Lessons learned from historical case studies are matched with contemporary leadership theory and practice from the business world, the military, athletics, journalism, and space exploration. The primary course objective is to produce future leaders prepared to influence their communities in positive ways, regardless of profession"
ALS 4960,Internship in Agriculture and Life Sciences,2,Sat/Unsat,"Fall, spring, summer",,,,,,,All 4960 internship courses must adhere to the CALS guidelines at cals.cornell.edu/academics/student-research/internship. Students planning internships related to the discipline of a department are encouraged to enroll in the departmental internship course
ALS 4970,Independent Study in Agriculture and Life Sciences,1-6,Stdnt Opt,"Fall, spring",,,,,,,No description available
AMST 2020,"Popular Culture in the United States, 1950 to the Present",4,Stdnt Opt,Spring,,,,(HA-AS),,,"AMST 2020 treats the period from 1950 to the present as we examine best-sellers, films, sports and television, radio, ads, newspapers, magazines, and music. We try to better understand the ways in which popular culture shapes and/or reflects American values. The course also depicts popular culture as ""contested terrain,"" the place where social classes, racial and ethnic groups, women and men, the powerful and less powerful seek to ""control"" images and themes. Topics include The Honeymooners and 1950s television, soap operas; ""gross-out"" movies; Elvis; the Beatles, and Guns 'n Roses; gothic romances; and People Magazine and USA Today"
AMST 3128,America's Changing Faces,2,Stdnt Opt,Summer,,,GOVT 3128,,,,"A new generation of leaders has emerged in America's political, economic, educational, and cultural institutions. Those leaders employ and explore in their work modern communications technologies such as the Internet. Thereby, they are changing both what is done and how things are done in the respective life spheres. This course explores the resulting changes in the nature of American life and asks questions about the interactions among the different realms of life"
AMST 3141,Prisons,4,Stdnt Opt,"Fall, winter, summer",,,GOVT 3141,(SBA-AS),,,"The United States stands alone among Western, industrialized countries with its persistent, high rates of incarceration, long sentences, and continued use of the death penalty. This ""American exceptionalism"" -- the turn to mass incarceration -- has been fostered by the use of sharply-delineated categories that define vast numbers of people as outlaws and others as law-abiding. Our purpose in this course is to understand how social and political actors have utitlized ideas that have deep roots in American political thought (ideas about rights, race, and responsibility) in ways that have now come to define large groups of the population as 'carcerable.'"
AMST 4696,The Art Market,4,Graded,Summer,,,"AMST 6696, ARTH 4696, ARTH 6696, VISST 4696",(LA-AS),,,"This course will examine the history of the art market, from the 16th century to the present. We will study the production, sale and exchange of works of art as well as the patrons, artists and collectors who participate in this economic, social and political form of taste-making and aesthetic valuation. Students will learn about noted patrons of the arts, such as the Medici family in Renaissance Italy, our main focus will be on the creation of a global art market in the twentieth century. Using case studies, sample topics include: patterns of transportation, exchange and trade; the interaction of collectors, critics and curators; the spaces and contexts of display of contemporary collections; auction houses and commercial galleries; and fakes, forgeries, thefts and scandals. Special attention will be paid to considering the contemporary art market (post 1980) and the collecting, exchange and valuation of film, photography, painting, performance and installation art. Global markets for the exchange of art in Asia, Europe, Africa, North America and South America will be highlighted as well as the exhibitions of contemporary art such as the Art Basel, the Cairo Biennale and the Venice Biennale that fuel these markets"
AMST 6696,The Art Market,4,Graded,Summer,,,"AMST 4696, ARTH 4696, ARTH 6696, VISST 4696",,,,"This course will examine the history of the art market, from the 16th century to the present. We will study the production, sale and exchange of works of art as well as the patrons, artists and collectors who participate in this economic, social and political form of taste-making and aesthetic valuation. Students will learn about noted patrons of the arts, such as the Medici family in Renaissance Italy, our main focus will be on the creation of a global art market in the twentieth century. Using case studies, sample topics include: patterns of transportation, exchange and trade; the interaction of collectors, critics and curators; the spaces and contexts of display of contemporary collections; auction houses and commercial galleries; and fakes, forgeries, thefts and scandals. Special attention will be paid to considering the contemporary art market (post 1980) and the collecting, exchange and valuation of film, photography, painting, performance and installation art. Global markets for the exchange of art in Asia, Europe, Africa, North America and South America will be highlighted as well as the exhibitions of contemporary art such as the Art Basel, the Cairo Biennale and the Venice Biennale that fuel these markets"
ANSC 1120,Sustainable Animal Husbandry,3,Stdnt Opt,Summer,,,,,,,"Students completing this course will understand the many roles of domestic animals and the importance of their interdependence with humans; appreciate the scope, diversity, and problems related to domestic animal systems; be able to design and operate simple sustainable animal systems; and know how to continue learning about sustainable animal systems. This intensive summer course includes 25 hours of lecture and 39 hours of hands-on laboratory/ demonstrations at various field sites and facilities all within a three-week period. Topics include domestication, sustainability, dogs, cats, rabbits, sheep, genetics, swine, nutrition, beef cattle, grazing, dairy cattle, dairy products, goats, poultry, aquaculture, camelids, horses, draft animals, animal systems modeling, Third World limited-resource animal systems, toxicology, lab animals, toxicology, veterinary medicine, and ethics of human interactions with domestic animals"
ANSC 2140,"Raptor Natural History, Conservation, and Captive Management",3,Graded,Summer,high school chemistry and biology,,,,,,"Introduction to the natural history and the care and management of raptors (birds of prey). Approaches to captive care and maintenance, restraint, training, and captive breeding with potential for reducing pressures on wild populations of avian species are included. A major objective is to present and discuss the scientific basis and merit of avian husbandry and breeding practices in species relevant to the course. Hands-on opportunities in basic raptor handling techniques are included"
ANSC 4990,Undergraduate Research in Animal Science,1-6,Stdnt Opt,"Fall, spring",GPA of at least 2.7,,,,,,"Affords opportunities for students to carry out independent research under appropriate supervision. Each student is expected to review pertinent literature, prepare a project outline, conduct the research, and prepare a report"
ANTHR 1300,"Human Evolution: Genes, Behavior, and the Fossil Record",3,Stdnt Opt,Spring,,,,(PBS Supplementary List),,,"The evolution of humankind is explored through the fossil record, studies of the biological differences among current human populations, and a comparison with our closest relatives, the primates. This course investigates the roots of human biology and behavior with an evolutionary framework"
ANTHR 2496,The Anthropology and History of the Food You Eat,3,Stdnt Opt,Winter,,,ANTHR 4496,,,,"Students in this on-line course will discuss readings on the history and anthropology of the development of the global food system while at the same time document and examine their own food habits. The course will present case studies from Mexico, Peru, India, Africa, as well as from the United States so that students delve into the history and extent of corporate control of food production while they buy and consume food, and document and analyze their diet"
ANTHR 3305,Anthropology of Parenting,4,Stdnt Opt,,,,,,,,No description available
ANTHR 3415,Art in the Modern World,4,Stdnt Opt,Summer,,,ARTH 3915,(CA-AS),,,"This course offers students an opportunity to learn from the visual and performing arts by attending music, theatre, and dance performances, and visiting museums and galleries. The program is open to any student interested in developing a feeling for different forms of expressive art. We examine how artistic expression introduces values that correspond to socially construed notions of color, sensation, ritual, and tradition"
ANTHR 4496,The Anthropology and History of the Food You Eat,3,Stdnt Opt,Winter,,,ANTHR 2496,,,,"Students in this on-line course will discuss readings on the history and anthropology of the development of the global food system while at the same time document and examine their own food habits. The course will present case studies from Mexico, Peru, India, Africa, as well as from the United States so that students delve into the history and extent of corporate control of food production while they buy and consume food, and document and analyze their diet"
ARCH 1110,Introduction to Architecture: Design Studio,3,Stdnt Opt,Summer,,,,,,,"Designed to introduce students to ideas, principles, and methods of solving architectural problems in a studio setting. Through a graduated sequence of exercises culminating in a major semester project, students explore the architectural concepts of space, form, function, and technology. Instruction is via highly personalized critiques of individual student work by assigned department faculty members, as well as periodic reviews of the group by invited faculty and guest critics. The grade is based on the overall performance in the studio with special emphasis on the quality of a major studio project"
ARCH 1300,An Introduction to Architecture: Lectures,3,Stdnt Opt,Summer,,,,,,,"Survey course that covers the many facets of architecture: history, design principles, preservations, landscape architecture, building technology, and cultural factors. Course format comprises lectures, demonstrations, films, and field trips. Evaluation is based on quizzes and a final exam"
ARCH 2100,Elective Design Studio,6,Graded,"Fall, spring, or summer",,,"ARCH 2101, ARCH 3100, ARCH 3101, ARCH 3102, ARCH 4100, ARCH 4101, ARCH 4102, ARCH 5100, ARCH 5101, ARCH 5104",,,,Non sequence design studio for students who are not architecture majors at Cornell and for department students taking design studio for non-sequence credit
ARCH 2101,Design III,6,Graded,"Fall, spring",,,"ARCH 2100, ARCH 3100, ARCH 3101, ARCH 3102, ARCH 4100, ARCH 4101, ARCH 4102, ARCH 5100, ARCH 5101, ARCH 5104",,,,"Students develop an understanding of context and precedent in the construction of architectural form, and are introduced to contextual and programmatic densities in addition to circulatory, spatial, and organizational strategies in the design process"
ARCH 3100,Elective Design Studio,6,Graded,"Fall, spring, or summer",,,"ARCH 2100, ARCH 2101, ARCH 3101, ARCH 3102, ARCH 4100, ARCH 4101, ARCH 4102, ARCH 5100, ARCH 5101, ARCH 5104",,,,Non sequence design studio for students who are not architecture majors at Cornell and for department students taking design studio for non-sequence credit
ARCH 3101,Design V,6,Graded,"Fall, spring",,,"ARCH 2100, ARCH 2101, ARCH 3100, ARCH 3102, ARCH 4100, ARCH 4101, ARCH 4102, ARCH 5100, ARCH 5101, ARCH 5104",,,,"Design and development of complex architectural projects situated in urban contexts and developed with regard to program, site, building, and representation"
ARCH 3102,Design VI,6,Graded,"Fall, spring",,,"ARCH 2100, ARCH 2101, ARCH 3100, ARCH 3101, ARCH 4100, ARCH 4101, ARCH 4102, ARCH 5100, ARCH 5101, ARCH 5104",,,,"Design and development of complex architectural projects situated in urban contexts and developed with regard to program, site, building, and representation"
ARCH 4100,Elective Design Studio,6,Graded,"Fall, spring, or summer",,,"ARCH 2100, ARCH 2101, ARCH 3100, ARCH 3101, ARCH 3102, ARCH 4101, ARCH 4102, ARCH 5100, ARCH 5101, ARCH 5104",,,,Non sequence design studio for students who are not architecture majors at Cornell and for department students taking design studio for non-sequence credit
ARCH 4101,Design VII,6,Graded,"Fall, spring",ARCH 3102,,"ARCH 2100, ARCH 2101, ARCH 3100, ARCH 3101, ARCH 3102, ARCH 4100, ARCH 4102, ARCH 5100, ARCH 5101, ARCH 5104",,,,"Advanced programs in architectural design, with options in, but not limited to, urban design, architectural technology, computational design, ecology, culture, and representation"
ARCH 4102,Design VIII,6,Graded,"Fall, spring",ARCH 4101,,"ARCH 2100, ARCH 2101, ARCH 3100, ARCH 3101, ARCH 3102, ARCH 4100, ARCH 4101, ARCH 5100, ARCH 5101, ARCH 5104",,,,"Advanced programs in architectural design, with options including, but not limited to, urban design, architectural technology, computational design, ecology, culture, and representation"
ARCH 5100,Elective Design Studio,6,Graded,"Fall, spring, summer",,,"ARCH 2100, ARCH 2101, ARCH 3100, ARCH 3101, ARCH 3102, ARCH 4100, ARCH 4101, ARCH 4102, ARCH 5101, ARCH 5104",,,,Non sequence design studio for students who are not architecture majors at Cornell and for department students taking design studio for non-sequence credit
ARCH 5101,Design IX,6,Graded,Fall or spring,ARCH 4102,,"ARCH 2100, ARCH 2101, ARCH 3100, ARCH 3101, ARCH 3102, ARCH 4100, ARCH 4101, ARCH 4102, ARCH 5100, ARCH 5104",,,,"Advanced programs in architectural design, with options in, but not limited to, urban design, architectural technology, computational design, ecology, culture, and representation"
ARCH 5104,Design Xa,6,Graded,"Fall, spring, or summer",Nonadvancing grade in ARCH 5902,,"ARCH 2100, ARCH 2101, ARCH 3100, ARCH 3101, ARCH 3102, ARCH 4100, ARCH 4101, ARCH 4102, ARCH 5100, ARCH 5101",,,,A structured studio for those needing to take an alternative to design thesis. This course operates within one of advanced option design studios
ARCH 6110,Graduate Design Seminar,3,Graded,Summer,,,,,,,No description available
ARCH 6301,Design Research,3,Graded,Summer,,,,,,,"Introduction to themes of inquiry in contemporary architecture, including critical motives in research, topical "" problems,"" and materials and tactics of investigation"
ARCH 7111,Design A,6,Graded,Summer,,,,,,,"Exploration of themes, methods, and technologies in contemporary design"
ART 1101,Art as Experience,3,Graded,Summer. (Three-week session),,,,,,,"Art as Experience is an introductory course that expands a student's understanding of the ideas and practices of art today. Studio projects will introduce a broad range of mediums from drawing and collage to digital photography and video installation. Students will explore and respond to resources at Cornell University and the course will be supplemented with readings, critiques and field trips.  The course will culminate in an exhibition where students will be responsible for the organization and installation of self-directed art work"
ART 1500,Summer Drawing I,3,Graded,Summer. (Three-week session),,,,,,,"General course introduces students to principles and techniques of representation. Emphasis is on creating the illusion of space and form through line, the rendering of light and shade, and studies in perspective. Students have the opportunity to explore various media such as charcoal, chalk, pencil, pen, ink, and wash"
ART 1503,Summer Drawing II,3,Stdnt Opt,Summer. (Three-week session),,,,,,,"General course in drawing that emphasizes figure study and life drawing. Builds on the foundation of ART 1500 and concentrates on the analytical study of the figure. Students explore a variety of materials, traditional and contemporary"
ART 2201,Painting: Introduction to Painting,4,Stdnt Opt,"Fall, spring, summer",,,,,,,"Studies the language of painting through color, form, materials, and techniques. Aspects of traditional and modern pictorial composition are studied including proportion, space, and color theory through the representation of a variety of subjects"
ART 2401,Introduction to Sculpture,4,Stdnt Opt,"Fall, spring, summer",,,,,,,This course introduces students to artistic practice in three dimensions using a variety of materials and approaches. Problems require the student to address materials in terms of cultural and historical context. Assumes no prior knowledge of sculpture
ART 2701,Digital Media: Introduction to Digital Media,4,Stdnt Opt,"Fall, spring",,,,,,,"This course explores the use of digital technology in contemporary art making. Students approach software programs by researching historical and contemporary art issues, with emphasis on how to differentiate between analog and digital forms. Through the investigation of the history of digital technology students will gain an understanding of digital culture and its correlation to social, aesthetic and theoretical issues. Topics explored include time-based art, network culture, image resolution, computational techniques, virtuality, and interactivity"
ART 3092,Independent Studio in Art,1-4,Stdnt Opt,"Fall, spring, summer",,,,,,,Independent studio allows a student the opportunity to investigate special interests that are not treated in regularly scheduled courses. The student develops a plan of study to pursue under the supervision of a faculty member
ART 3699,Photography: Special Topics,4,Graded,Fall or spring,ART 2601 or permission of instructor,,,,,,Topics TBA
ARTH 3915,Art in the Modern World,4,Stdnt Opt,Summer,,,ANTHR 3415,(CA-AS),,,"This course offers students an opportunity to learn from the visual and performing arts by attending music, theatre, and dance performances, and visiting museums and galleries. The program is open to any student interested in developing a feeling for different forms of expressive art. We examine how artistic expression introduces values that correspond to socially construed notions of color, sensation, ritual, and tradition"
ARTH 4696,The Art Market,4,Graded,Summer,,,"AMST 4696, AMST 6696, ARTH 6696, VISST 4696",(LA-AS),,,"This course will examine the history of the art market, from the 16th century to the present. We will study the production, sale and exchange of works of art as well as the patrons, artists and collectors who participate in this economic, social and political form of taste-making and aesthetic valuation. Students will learn about noted patrons of the arts, such as the Medici family in Renaissance Italy, our main focus will be on the creation of a global art market in the twentieth century. Using case studies, sample topics include: patterns of transportation, exchange and trade; the interaction of collectors, critics and curators; the spaces and contexts of display of contemporary collections; auction houses and commercial galleries; and fakes, forgeries, thefts and scandals. Special attention will be paid to considering the contemporary art market (post 1980) and the collecting, exchange and valuation of film, photography, painting, performance and installation art. Global markets for the exchange of art in Asia, Europe, Africa, North America and South America will be highlighted as well as the exhibitions of contemporary art such as the Art Basel, the Cairo Biennale and the Venice Biennale that fuel these markets"
ARTH 6696,The Art Market,4,Graded,Summer,,,"AMST 4696, AMST 6696, ARTH 4696, VISST 4696",,,,"This course will examine the history of the art market, from the 16th century to the present. We will study the production, sale and exchange of works of art as well as the patrons, artists and collectors who participate in this economic, social and political form of taste-making and aesthetic valuation. Students will learn about noted patrons of the arts, such as the Medici family in Renaissance Italy, our main focus will be on the creation of a global art market in the twentieth century. Using case studies, sample topics include: patterns of transportation, exchange and trade; the interaction of collectors, critics and curators; the spaces and contexts of display of contemporary collections; auction houses and commercial galleries; and fakes, forgeries, thefts and scandals. Special attention will be paid to considering the contemporary art market (post 1980) and the collecting, exchange and valuation of film, photography, painting, performance and installation art. Global markets for the exchange of art in Asia, Europe, Africa, North America and South America will be highlighted as well as the exhibitions of contemporary art such as the Art Basel, the Cairo Biennale and the Venice Biennale that fuel these markets"
ASIAN 2225,"Literature, Politics, and Genocide in Cambodia",3,Stdnt Opt,Summer,,,,(CA-AS),(GB),,"This course will examine various literary, historical, and political responses to the Cambodian genocide, particularly literary testimony by survivors and governmental efforts to bring the perpetrators to justice. The course considers the limited effectiveness of these responses for addressing the causes and effects of genocide despite the vow of ""never again."" To pursue these questions, students will read selections from novels and poetry written by Cambodian survivors, along with historical accounts of the genocide and analysis attempts by the Cambodian government and the international community to bring the perpetrators to justice"
ASIAN 2274,"Mughal India and the Early Modern World, c. 1500-1800",4,Stdnt Opt,,,,HIST 2749,,,,No description available
ASIAN 2279,Chinese Mythology,3,Stdnt Opt,Summer,,,,(LA-AS),(GHB),,"Students will study Chinese myths from the earliest times. Focus will be on understanding how people have used myth to create and convey meaning, on examining the form Chinese myths take, and on considering how they are related to religion, literature, historical accounts, and intellectual trends"
ASRC 1900,Research Strategies in Africana and Latino Studies,1,Graded,Spring,,,LSP 1101,,,,"The digital revolution has made an enormous amount of information available to research scholars, but discovering resources and using them effectively can be challenging. This course introduces students with research interests in Latino and Africana Studies to search strategies and methods for finding materials in various formats (e.g., digital, film, and print) using information databases such as the library catalog, print and electronic indexes, and the World Wide Web. Instructors provide equal time for lecture and hands-on learning. Topics include government documents, statistics, subject-specific online databases, social sciences, the humanities, and electronic citation management"
ASTRO 1105,The Universe,3,Stdnt Opt,Summer,,,ASTRO 1107,(PBS),,Students may not receive credit for both ASTRO 1105 and ASTRO 1107,"How do we measure the size of our galaxy and the size of the universe? Is the universe round or flat? How are the stars born, why do they shine, and how do they die? What are the chemical elements, and how were they formed in stars? What are quasars, pulsars, and black holes? How was the solar system formed? What are the environments of other planets like? What is the basic structure of Earth and the other planets? Will we catastrophically alter the earth? Does life exist elsewhere in the universe? How can we find out? Each student has an opportunity to make observations with small telescopes"
ASTRO 1106,"Relativity, Cosmology, and Black Holes",3,Stdnt Opt,Summer,,,,(PBS),,,"Explanation of Einstein's theory of special relativity, which brought about a fundamental change in our conceptual understanding of space and time. The consequences of the theory-including mass-energy equivalence, nuclear fission and fusion, and thermonuclear process in stars and why we can't travel faster than light-and how it all makes sense. Cosmology, studying the evolution and future of the universe and general relativity. The death of stars: white dwarfs, neutron stars, and black holes"
ASTRO 1107,The Universe,4,Stdnt Opt,Summer,,,ASTRO 1105,(PBS),,Students may not receive credit for both ASTRO 1105  and ASTRO 1107,Identical to ASTRO 1105  except for the addition of the afternoon laboratory that emphasizes mathematical problem-solving. This option is recommended for potential majors in science and engineering
ASTRO 2299,Search for Life in the Universe,3,Stdnt Opt,Fall,two courses in any physical science subject or permission of instructors,,,(PBS),,,"This course surveys the possibilities for life in the cosmos and the search for it, against the backdrop of our modern understanding of the cosmos.  It covers ideas about the origin of the universe and how structure arises, the formation of stars and planets, how life might have begun on planets, the evolution of life on the Earth, and the search for life elsewhere in the solar system and beyond"
BEE 3299,Sustainable Development,3,Stdnt Opt,"Spring, summer",,,,,,,"Sustainable development is the dominant economic, environmental, and social issue of the 21st century. This course develops the concepts of sustainable development as an evolutionary process, demanding the integration of the physical sciences and engineering with the biological and social sciences for design of systems. Topics include the nature of ecosystems, global processes, sustainable communities, and industrial ecology, renewable energy, and life cycle analysis. Course is web-based"
BEE 3310,Bio-Fluid Mechanics,4,Graded,"Fall, summer",ENGRD 2020 and engineering math sequence,,,,,,"Properties of Newtonian and non-Newtonian fluids; hydrostatic and dynamic forces; principles of continuity, conservations of mass, energy and momentum and their applications; laminar and turbulent flows and boundary layer, introduction to Navier Stokes; dimensional analysis and similarity; blood flow in the cardiovascular system; gas exchange in the pulmonary system; blood flow and sodium transport in the kidney. The major concepts are covered by case studies"
BEE 3500,Biological and Bioenvironmental Transport Processes,3,Graded,"Fall, summer",,,,,,,"Focuses on understanding the principles of heat and mass transfer in the context of biological (biomedical/bioprocessing/bioenvironmental) systems. Emphasizes physical understanding of transport processes and simple reaction rates with application examples from plant, animal, and human biology in the bioenvironment (soil/water/air), and industrial processing of food and biomaterials"
BEE 4990,Undergraduate Research,1-4,Graded,"Fall, spring",adequate training for work proposed,,,,,,"Research in any area of biological or environmental engineering on problems under investigation by the department or of special interest to the student, provided that adequate facilities can be obtained. The student must review pertinent literature, prepare a project outline, carry out an approved plan, and submit a formal final report"
BIOEE 2070,Evolution,3,Stdnt Opt,"Fall, summer",,,STS 2871,(PBS),,,"Evolution is the central concept in biology. This course examines evolution as a science and places it in an historical context.  Lectures focus on descent with modification, the nature of natural  selection, the history of the earth, the information content of the fossil record, and processes responsible for diversification (speciation and extinction).  The science of evolutionary biology is presented in the context of a broader history of ideas in science.  The course also explores the importance of evolutionary thinking in the 21st century, including discussion of antibiotic and pesticide resistance, personalized genomics, climate change, and the conflict between creationists and evolutionists"
BIOG 1009,Prefreshman Summer Program Biology,2,Sat/Unsat,,,,,,,,No description available
BIOG 1440,Introductory Biology: Comparative Physiology,3,Stdnt Opt,"Fall, spring, summer",,,,(PBS),,Students may not receive credit for both BIOG 1440 and BIOG 1445,"An introductory physiology course intended for freshman and sophomore biology majors. The course integrates physiology from the cell to the organism with comparisons among animals, plants and microbes. Emphasis is on understanding of basic physiological concepts, stressing structure-function relationships and underlying physio-chemical mechanisms"
BIOG 1500,Investigative Biology Laboratory,2,Stdnt Opt,"Fall, spring, summer",,,,,,,"Designed for biology majors to provide lab experience with emphasis on processes of scientific investigations and to promote communication, literacy and collaboration in science. Students gain expertise in methods including instrumentation used by biologists to construct new knowledge. Lab topics include genetics, evolution, ecology, biochemistry, and molecular biology"
BIOG 2000,Special Studies in Biology,1-6,Stdnt Opt,"Fall, spring, summer",,,,,,,"Registration device for students who want to take only a portion of a regular biological sciences course-for example, only the lectures or only the laboratory in a course that includes both. Only students who have already had training equivalent to the portion of the regular course that is to be omitted may register in this manner. This course may not be substituted for 1000-level courses and may not be used to fulfill college distribution requirements except by permission from the Office of Undergraduate Biology"
BIOMG 2800,Lectures in Genetics and Genomics,3,Stdnt Opt,"Fall, spring, summer. (Eight-week session)",,,,(PBS),,,"General introduction to the fundamental principles of genetics in eukaryotes and bacteria. Topics include gene transmission, linkage, recombination, structure, mutations, and manipulation, as well as analysis of genomes in individuals and populations"
BIOMG 2801,Laboratory in Genetics and Genomics,2,Stdnt Opt,"Fall, spring, summer",,,,,,,"General introduction to laboratory experimental genetics in eukaryotes and bacteria.  Topics include gene transmission, linkage, recombination, structure, mutations, and manipulation"
BIOMI 1720,Biomedical Terminology,3,Graded,Summer,,,CLASS 1692,(HA-AS),,,"A study of the Greek and Latin word elements that combine to form most of the specialized terms in the biological sciences. The student who learns the meanings of those elements and the rules of word formation can usually recognize the basic meaning of any unfamiliar word in that field. This skill is especially valuable for pre-law, pre-medical, pre-dental, pre-veterinary students and for those in other health and legal fields, as well as for students who would like to broaden their general vocabulary. This course would be excellent preparation for students prior to taking standardized test: e.g., SAT, GRE, MCAT, TOEFL, LSAT, etc"
BIOMI 2900,General Microbiology Lectures,3-4,Graded,"Fall, spring, summer. (Six-week session)","two semesters majors-level biology and two semesters college-level chemistry, or equivalent. Highly recommended corequisite: BIOMI 2911",,,(PBS),,,"Comprehensive overview of the biology of microorganisms, with emphasis on bacteria. Topics include microbial cell structure and function, physiology, metabolism, genetics, diversity, and ecology. Also covers applied aspects of microbiology such as biotechnology, the role of microorganisms in environmental processes, and medical microbiology"
BIOMI 2910,General Microbiology Laboratory,2,Graded,Summer. (Six-week session),,,,,,,"Study of the basic principles and techniques of laboratory practice in microbiology, and fundamentals necessary for further work in the subject"
BIOMS 1310,"Parasites as Literary Protagonists - Mind Control, Emasculation, and Egg Sacks",1,Graded,"Winter, summer",,,,,,,"This course will introduce students to the world of pathogens, mainly parasitic animals, affecting host behavior. Various works of science fiction, horror, fantasy, and thrillers, will be drawn from to introduce the subject of host manipulation and control. Discussed will be parasites modifying host behaviors to: protect themselves, change their host's attractiveness to a mate, make the host more attractive to predators, make the host easier to catch by predators, fooling the host into taking care of the parasite's young instead of its own, changing the gender of the host to make it the appropriate parent for its young, etc. Scientific examples of the manipulations used in literature will be presented in relation to the stories presented"
BIOMS 3350,Wildlife Parasitology,2,Graded,Summer,"one semester college level biology or majors level biology, or equivalent",,,,,,"Parasites of wildlife, mainly of more studied hosts. Emphasis on morphology, biology, diversity, and effects on host and environment. Examples of parasites of invertebrates, fish, amphibia, reptiles, birds, and mammals. Objective is an appreciation of the diversity of parasites and to introduce the impact that these parasites have on biology"
BIONB 2210,Neurobiology and Behavior I: Introduction to Behavior,3-4,Stdnt Opt,"Fall, summer",two majors-level biology courses,,,(PBS),,,"General introduction to the field of animal behavior. Topics include evolution and behavior, behavioral ecology, sociobiology, chemical ecology, communication, orientation and navigation, and hormonal mechanisms of behavior. BioNB2210 website"
