Code,Title,Credits,Grading,Semesters Offered,Prerequisites,Corequisites,Crosslisted,Distribution Category,Breadth Requirement,Forbidden Overlap,Description
AEM 4940,Undergraduate Special Topics in Applied Economics and Management,3,Stdnt Opt,"Fall, spring, summer",,,,,,,"The department teaches ""trial"" courses under this number. Offerings vary by semester and are advertised by the department before the beginning of the semester"
ALS 1140,Explorations in Biology Research and Health Professions,1,Graded,Summer,,,,,,,"Explores biology as it pertains to research, health-care professions, and the world at large. This seminar is designed for students with a strong interest in medicine and biological research. Discussions and laboratory exercises allow students to interact with faculty and guest speakers. Students learn to read and evaluate scientific publications on current biological topics. Course grade is based on several short papers"
ALS 4010,CALS Exchange Program,5,Sat/Unsat,,,,,,,,No description available
AMST 1115,Introduction to American Government and Politics,4,Stdnt Opt,"Fall, summer",,,GOVT 1111,(SBA-AS),,,"A policy-centered approach to the study of government in the American experience.  Considers the American Founding and how it influenced the structure of government;  how national institutions operate in shaping law and public policy; who has a voice in American politics and why some are more influential than others; and how existing public policies themselves influence social, economic, and political power.  Students will gain an introductory knowledge of the founding principles and structure of American government, political institutions, political processes, political behavior, and public policy"
AMST 3128,America's Changing Faces,1,Stdnt Opt,Summer,,,GOVT 3128,,,,"As new generations of leaders emerge in America's political, economic, educational, and cultural institutions (for good and ill), a national conversation about what constitutes leadership has continued.  This course will examine the idea of that leadership at the national, community, and personal levels to understand the interactions between different kinds of leadership, how it connects to ideas of citizenship, communal and political engagement, and how generations shift their ideas of leadership"
AMST 3141,Prisons,4,Stdnt Opt,"Fall, winter, summer",,,GOVT 3141,(SBA-AS),,,"The United States stands alone among Western, industrialized countries with its persistent, high rates of incarceration, long sentences, and continued use of the death penalty. This ""American exceptionalism"" -- the turn to mass incarceration -- has been fostered by the use of sharply-delineated categories that define vast numbers of people as outlaws and others as law-abiding. These categories that are based on ideas of personal responsibility and assumptions about race are modified somewhat by a liberal commitment to human rights.   Our purpose in this course is to understand how such ideas have taken root and to locate the consequences of these ideas for policy and practice. "
ANSC 1120,Sustainable Animal Husbandry,3,Stdnt Opt,Summer,,,,,,,"Students completing this course will explore the many roles of domestic animals and the importance of their interdependence with humans; appreciate the scope, diversity, and problems related to domestic animal systems; practice using scientific literature to research, and know how to continue learning about sustainable animal systems. This intensive summer course includes 25 hours of lecture and 27 hours of hands-on laboratory/ demonstrations at various field sites and facilities all within a three-week period. Topics include domestication, sustainability, companion animals, sheep, goats, swine, beef cattle, dairy cattle, nutrition, genetics, grazing, dairy products, poultry, horses and draft animals, Third World limited-resource animal systems, toxicology and lab animals"
ANTHR 1300,"Human Evolution: Genes, Behavior, and the Fossil Record",3,Stdnt Opt,"Spring, summer",,,,(PBSS-AS),,,"The evolution of humankind is explored through the fossil record, studies of the biological differences among current human populations, and a comparison with our closest relatives, the primates. This course investigates the roots of human biology and behavior with an evolutionary framework"
ANTHR 3305,Anthropology of Parenting,4,Stdnt Opt,Summer,,,,(SBA-AS),(GB),,"Human children are packets of genes that represent individual reproductive success. Like all animals, humans are selected by evolution to care for their offspring, but human infants and children require more intense parental investment than the offspring of most other species. Why is this so? Human parents are also influenced by cultural belief systems and ideology that play out in parenting styles. How do various belief systems influence parent-offspring interaction? In this course we will examine the human infant as a biologically designed organism that has co-evolved with caretakers, and then look at the various parenting styles across cultures that also mold our young"
ARCH 1102,Design II,6,Graded,Spring,ARCH 1101 and ARCH 1501,,"ARCH 2100, ARCH 2101, ARCH 2102, ARCH 3100, ARCH 3101, ARCH 3102, ARCH 3109, ARCH 4100, ARCH 4101, ARCH 4102, ARCH 5100, ARCH 5101, ARCH 5104",,,,"Continuation of ARCH 1101. Covers human, social, technical, and aesthetic factors related to space and form. Design problems range from those of the immediate environment of the individual to that of small social groups"
ARCH 1110,Introduction to Architecture: Design Studio,3,Stdnt Opt,Summer,,,,,,,"Designed to introduce students to ideas, principles, and methods of solving architectural problems in a studio setting. Through a graduated sequence of exercises culminating in a major semester project, students explore the architectural concepts of space, form, function, and technology. Instruction is via highly personalized critiques of individual student work by assigned department faculty members, as well as periodic reviews of the group by invited faculty and guest critics. The grade is based on the overall performance in the studio with special emphasis on the quality of a major studio project"
ARCH 1300,An Introduction to Architecture: Lectures,3,Stdnt Opt,Summer,,,,,,,"Survey course that covers the many facets of architecture: history, design principles, preservations, landscape architecture, building technology, and cultural factors. Course format comprises lectures, demonstrations, films, and field trips. Evaluation is based on quizzes and a final exam"
ARCH 2100,Elective Design Studio,6,Graded,"Fall, spring, summer",,,"ARCH 1102, ARCH 2101, ARCH 2102, ARCH 3100, ARCH 3101, ARCH 3102, ARCH 3109, ARCH 4100, ARCH 4101, ARCH 4102, ARCH 5100, ARCH 5101, ARCH 5104",,,,Non sequence design studio for students who are not architecture majors at Cornell and for department students taking design studio for non-sequence credit
ARCH 2101,Design III,6,Graded,Fall,"ARCH 1102,  1501, and 1502",,"ARCH 1102, ARCH 2100, ARCH 2102, ARCH 3100, ARCH 3101, ARCH 3102, ARCH 3109, ARCH 4100, ARCH 4101, ARCH 4102, ARCH 5100, ARCH 5101, ARCH 5104",,,,"Students develop an understanding of context and precedent in the construction of architectural form, and are introduced to contextual and programmatic densities in addition to circulatory, spatial, and organizational strategies in the design process"
ARCH 2102,Design IV,6,Graded,Spring,"ARCH 1501, 1502, and 2101 or permission of instructor",,"ARCH 1102, ARCH 2100, ARCH 2101, ARCH 3100, ARCH 3101, ARCH 3102, ARCH 3109, ARCH 4100, ARCH 4101, ARCH 4102, ARCH 5100, ARCH 5101, ARCH 5104",,,,"In this Integrative Design Studio, the requirements of building systems are seen to both support and inform architectural concepts and form. One of the key design experiences during this semester will be the interaction of these concepts and building systems. Questions of energy, thermal comfort, sustainability, structure, material, and life safety will be addressed"
ARCH 3100,Elective Design Studio,6,Graded,"Fall, spring, summer",,,"ARCH 1102, ARCH 2100, ARCH 2101, ARCH 2102, ARCH 3101, ARCH 3102, ARCH 3109, ARCH 4100, ARCH 4101, ARCH 4102, ARCH 5100, ARCH 5101, ARCH 5104",,,,Non sequence design studio for students who are not architecture majors at Cornell and for department students taking design studio for non-sequence credit
ARCH 3101,Design V,6,Graded,"Fall, spring",ARCH 2102 and required 2nd-year core,,"ARCH 1102, ARCH 2100, ARCH 2101, ARCH 2102, ARCH 3100, ARCH 3102, ARCH 3109, ARCH 4100, ARCH 4101, ARCH 4102, ARCH 5100, ARCH 5101, ARCH 5104",,,,"Design and development of complex architectural projects situated in urban contexts and developed with regard to program, site, building, and representation"
ARCH 3102,Design VI,6,Graded,"Fall, spring",ARCH 3101 and required 2nd-year core,,"ARCH 1102, ARCH 2100, ARCH 2101, ARCH 2102, ARCH 3100, ARCH 3101, ARCH 3109, ARCH 4100, ARCH 4101, ARCH 4102, ARCH 5100, ARCH 5101, ARCH 5104",,,,"Design and development of complex architectural projects situated in urban contexts and developed with regard to program, site, building, and representation"
ARCH 3109,Elective Design Studio,6,Graded,Summer,,,"ARCH 1102, ARCH 2100, ARCH 2101, ARCH 2102, ARCH 3100, ARCH 3101, ARCH 3102, ARCH 4100, ARCH 4101, ARCH 4102, ARCH 5100, ARCH 5101, ARCH 5104",,,,Nonsequence design studio used for off-campus foreign programs for third-year B.Arch. students. Credit will be applied toward ARCH 4101 upon successful completion of ARCH 3102
ARCH 4100,Elective Design Studio,6,Graded,"Fall, spring, summer",,,"ARCH 1102, ARCH 2100, ARCH 2101, ARCH 2102, ARCH 3100, ARCH 3101, ARCH 3102, ARCH 3109, ARCH 4101, ARCH 4102, ARCH 5100, ARCH 5101, ARCH 5104",,,,Non sequence design studio for students who are not architecture majors at Cornell and for department students taking design studio for non-sequence credit
ARCH 4101,Design VII,6,Graded,"Fall, Spring",ARCH 3102,,"ARCH 1102, ARCH 2100, ARCH 2101, ARCH 2102, ARCH 3100, ARCH 3101, ARCH 3102, ARCH 3109, ARCH 4100, ARCH 4102, ARCH 5100, ARCH 5101, ARCH 5104",,,,"Advanced programs in architectural design, with options in, but not limited to, urban design, architectural technology, computational design, ecology, culture, and representation"
ARCH 4102,Design VIII,6,Graded,"Fall, Spring",ARCH 4101,,"ARCH 1102, ARCH 2100, ARCH 2101, ARCH 2102, ARCH 3100, ARCH 3101, ARCH 3102, ARCH 3109, ARCH 4100, ARCH 4101, ARCH 5100, ARCH 5101, ARCH 5104",,,,"Advanced programs in architectural design, with options including, but not limited to, urban design, architectural technology, computational design, ecology, culture, and representation"
ARCH 5100,Elective Design Studio,6,Graded,"Fall, Spring, Summer",,,"ARCH 1102, ARCH 2100, ARCH 2101, ARCH 2102, ARCH 3100, ARCH 3101, ARCH 3102, ARCH 3109, ARCH 4100, ARCH 4101, ARCH 4102, ARCH 5101, ARCH 5104",,,,Non sequence design studio for students who are not architecture majors at Cornell and for department students taking design studio for non-sequence credit
ARCH 5101,Design IX,6,Graded,Fall or spring,ARCH 4102,,"ARCH 1102, ARCH 2100, ARCH 2101, ARCH 2102, ARCH 3100, ARCH 3101, ARCH 3102, ARCH 3109, ARCH 4100, ARCH 4101, ARCH 4102, ARCH 5100, ARCH 5104",,,,"Advanced programs in architectural design, with options in, but not limited to, urban design, architectural technology, computational design, ecology, culture, and representation"
ARCH 5104,Design Xa,6,Graded,"Fall, Spring, Summer",Nonadvancing grade in ARCH 5902,,"ARCH 1102, ARCH 2100, ARCH 2101, ARCH 2102, ARCH 3100, ARCH 3101, ARCH 3102, ARCH 3109, ARCH 4100, ARCH 4101, ARCH 4102, ARCH 5100, ARCH 5101",,,,A structured studio for those needing to take an alternative to design thesis. This course operates within one of advanced option design studios
ARCH 6110,Computational Thinking as Design Process,3,Graded,Summer,,,,,,,No description available
ARCH 6301,Architectural Territories of Design,3,Graded,Summer,,,,,,,"Introduction to themes of inquiry in contemporary architecture, including critical motives in research, topical "" problems,"" and materials and tactics of investigation"
ARCH 7111,Design A,6,Graded,Summer,,,,,,,"Exploration of themes, methods, and technologies in contemporary design"
ARCH 8913,Design C: Topic Studio,6,Graded,Spring,ARCH 7912,,,,,,Graduate vertical design studio
ART 1101,Art as Experience,3,Graded,Summer (three-week session),,,,,,,"Art as Experience is an introductory course that expands a student's understanding of the ideas and practices of art today. Studio projects will introduce a broad range of mediums from drawing and collage to digital photography and video installation. Students will explore and respond to resources at Cornell University and the course will be supplemented with readings, critiques and field trips.  The course will culminate in an exhibition where students will be responsible for the organization and installation of self-directed art work"
ART 1102,Art as Experience II: TransMedia,3,Stdnt Opt,Summer,,,,,,,"Working with cameras, audio recorders, physical computing boards and computer software, this course introduces students to digital art creation, manipulation and theory. Students will have hands on experience with digital image acquisition, recording and editing video and sound, and computer programing for interactive media based applications. Learning will be fun, challenging, exciting and will open the student to new possibilities for creating dynamic media art. Topics addressed during the course will include digital photography, digital video, audio and video editing, stop-animation, slow-motion video, macro photography, programing for audio/ visual interaction, and physical computing"
ART 1103,Art as Experience: Sculpture,3,Stdnt Opt,"Summer,",,,,,,,"Sculpture is distinguishable from other visual arts through its inherent use of space and reliance on an enormous range of materials. It is in our space, it makes us move in a certain way and it makes us want to move in a certain way. Because sculpture is physical like us, we respond to it on a visceral level. Sculpture can also be made out of literally anything, and each ""anything"" already comes with its own meanings and associations. All of these are givens, even before we decide what our work is about. This is what makes sculpture so powerful and exciting, and also so challenging. This course begins by exploring these givens though a number of very specific assignments and discussions. After a level of class-wide proficiency has been attained each student will develop their own line of inquiry and develop highly individualized projects"
ART 2201,Painting: Introduction to Painting,4,Stdnt Opt,"Fall, spring, summer",,,,"(CA-AAP, LA-AAP)",,,"Studies the language of painting through color, form, materials, and techniques. Aspects of traditional and modern pictorial composition are studied including proportion, space, and color theory through the representation of a variety of subjects"
ART 3092,Independent Studio in Art,1-4,Stdnt Opt,"Fall, spring",,,,"(CA-AAP, LA-AAP)",,,Independent studio allows a student the opportunity to investigate special interests that are not treated in regularly scheduled courses. The student develops a plan of study to pursue under the supervision of a faculty member
ART 3999,Special Topics in Art,1-4,Stdnt Opt,"Fall, spring, summer",,,,"(CA-AAP, LA-AAP)",,,Topics TBA
ASIAN 2225,"Literature, Politics, and Genocide in Cambodia",3,Stdnt Opt,Summer,,,,(CA-AS),(GB),,"This course will examine various literary, historical, and political responses to the Cambodian genocide, particularly literary testimony by survivors and governmental efforts to bring the perpetrators to justice. The course considers the limited effectiveness of these responses for addressing the causes and effects of genocide despite the vow of ""never again."" To pursue these questions, students will read selections from novels and poetry written by Cambodian survivors, along with historical accounts of the genocide and analysis attempts by the Cambodian government and the international community to bring the perpetrators to justice"
ASRC 1900,Research Strategies in Africana and Latino Studies,1,Graded,Spring (weeks 8-14),,,LSP 1101,,,,"The digital revolution has made an enormous amount of information available to research scholars, but discovering resources and using them effectively can be challenging. This course introduces students with research interests in Latino and Africana Studies to search strategies and methods for finding materials in various formats (e.g., digital, film, and print) using information databases such as the library catalog, print and electronic indexes, and the World Wide Web. Instructors provide equal time for lecture and hands-on learning. Topics include government documents, statistics, subject-specific online databases, social sciences, the humanities, and electronic citation management"
ASTRO 1105,The Universe,3,Stdnt Opt,Summer,high school physics recommended,,ASTRO 1107,(PBS-AS),,students may not receive credit for both ASTRO 1105 and ASTRO 1107,"When civilization was young, Seneca wrote, ""A single lifetime, even entirely devoted to the sky, would not be enough for the investigation of so vast a subject. Our descendants will be amazed that we did not know things that are so plain to them."" We will work to understand what he and the ancients knew about the night sky, and the ingenious methods by which they came to know it, and trace the history of astronomy through the modern day. Indeed, modern astronomy abounds with strange alien worlds and exotic events that would have amazed that great classical thinker: Stars and the tantalizing planets that journey with them through the galaxies, which smash into one another over millions of years. And when they die in great explosions, stars create exotic pulsars, black holes, nebulae, and people. And somehow all of this started at the single moment of the Big Bang. What will be so plain to our descendants that would amaze us today? Will they have contacted alien intelligence? Traveled in time? Learned the fate of the universe?"
ASTRO 1106,"Relativity, Cosmology, and Black Holes",3,Stdnt Opt,Summer,high school algebra and trigonometry,,,(PBS-AS),,,"Explanation of Einstein's theory of Special Relativity, which brought about a fundamental change in our conceptual understanding of space and time. The consequences of the theory: the relativity of simultaneity; mass-energy equivalence, nuclear fission and fusion and thermonuclear processes in starts; why we can't travel faster than the speed of light; and how it all makes sense, including the resolution of some apparent paradoxes. Cosmology, studying the evidence for the evolution and future of the universe, and the considerations and evidence driving our theories, including an introduction to General Relativity and investigation of Dark Matter and Dark Energy. The death of stars: white dwarfs, neutron stars and pulsars, and black holes"
ASTRO 1107,The Universe,4,Stdnt Opt,Summer,,,ASTRO 1105,(PBS-AS),,Students may not receive credit for both ASTRO 1105 and ASTRO 1107,Identical to ASTRO 1105 except for the addition of the afternoon laboratory that emphasizes mathematical problem-solving. This option is recommended for potential majors in science and engineering
ASTRO 1199,Are We Alone in the Universe?,3,Graded,Summer,high school physics and biology,,,(PBS-AS),,,"This course surveys the possibilities for life in the universe and the search for it, against the backdrop of our modern understanding of the cosmos.  It covers ideas about the origin of the universe and how structure arises, the formation of stars and planets, how life might have begun on planets, the evolution of life on the Earth, and the search for life elsewhere in the solar system and beyond"
BEE 3299,Sustainable Development,3,Stdnt Opt,"Fall, spring, summer",,,,,,NTRES 3301,"Sustainable development is the dominant economic, environmental, and social issue of the 21st century. This course develops the concepts of sustainable development as an evolutionary process, demanding the integration of the physical sciences and engineering with the biological and social sciences for design of systems. Topics include the nature of ecosystems, global processes, sustainable communities, and industrial ecology, renewable energy, and life cycle analysis. Course is web-based"
BEE 3310,Bio-Fluid Mechanics,4,Graded,"Fall, summer",ENGRD 2020 and engineering math sequence,,,,,,"Properties of Newtonian and non-Newtonian fluids; hydrostatic and dynamic forces; principles of continuity, conservations of mass, energy and momentum and their applications; laminar and turbulent flows and boundary layer, introduction to Navier Stokes; dimensional analysis and similarity; blood flow in the cardiovascular system; gas exchange in the pulmonary system; blood flow and sodium transport in the kidney. The major concepts are covered by case studies"
BEE 3500,Heat and Mass Transfer in Biological Engineering,3,Graded,"Fall, summer",,,,,,,"Focuses on understanding the principles of heat and mass transfer in the context of biological (biomedical/bioprocessing/bioenvironmental) systems. Emphasizes physical understanding of transport processes and simple reaction rates with application examples from plant, animal, and human biology in the bioenvironment (soil/water/air), and industrial processing of food and biomaterials"
BIOEE 1610,Introductory Biology: Ecology and the Environment,3-4,Stdnt Opt,"Fall, spring",,,,"(BIO-AG, PBS-AS)",,,"This course provides an introduction to ecology, covering interactions between organisms and the environment at scales of populations, communities, and ecosystems. Ecological principles are used to explore the theory and applications of major issues facing humanity in the 21st century, including population dynamics, disease ecology, biodiversity and invasive species, global change, and other topics of environmental sustainability"
BIOEE 2070,Evolution,3,Stdnt Opt,"Fall, summer",,,STS 2871,"(BIOLS-AG, OPHLS-AG, PBS-AS)",,,"Evolution is the central concept in biology. This course examines evolution as a science and places it in an historical context. Lectures focus on descent with modification, the nature of natural selection, the history of the earth, the information content of the fossil record, and processes responsible for diversification (speciation and extinction). The science of evolutionary biology is presented in the context of a broader history of ideas in science. The course also explores the importance of evolutionary thinking in the 21st century, including discussion of antibiotic and pesticide resistance, personalized genomics, climate change, and the conflict between creationists and evolutionists"
BIOG 1009,Prefreshman Summer Program Biology,2,Sat/Unsat,,,,,,,,No description available
BIOG 1440,Introductory Biology: Comparative Physiology,3,Stdnt Opt,"Fall, spring, summer",,,,"(BIO-AG, PBS-AS)",,Students may not receive credit for both BIOG 1440 and BIOG 1445,"An introductory physiology course intended for freshman and sophomore biology majors and other students majoring in life sciences. The course integrates physiology from the cell to the organism with comparisons among animals, plants and microbes. Emphasis is on understanding of basic physiological concepts, stressing structure-function relationships and underlying physio-chemical mechanisms"
BIOG 1500,Investigative Biology Laboratory,2,Graded,"Fall, spring, summer",,,,(BIO-AG),,,"Designed for biology majors to provide lab experience with emphasis on processes of scientific investigations and to promote communication, literacy and collaboration in science. Students gain expertise in methods including instrumentation used by biologists to construct new knowledge. Lab topics include genetics, evolution, ecology, biochemistry, and molecular biology"
BIOG 2000,Special Studies in Biology,1-6,Stdnt Opt,"Fall, spring, summer",,,,,,,"Registration device for students who want to take only a portion of a regular biological sciences course-for example, only the lectures or only the laboratory in a course that includes both. Only students who have already had training equivalent to the portion of the regular course that is to be omitted may register in this manner. This course may not be used to fulfill college distribution requirements except by permission from the Office of Undergraduate Biology"
BIOG 4990,Independent Undergraduate Research in Biology,1-8,Stdnt Opt,"Fall, spring, summer",one semester BIOG 2990 or equivalent or permission of instructor and Office of Undergraduate Biology,,,,,,"For students with previous undergraduate experience conducting biological research at Cornell. Students enrolled for this credit should be doing independent work on their own project.  Applications available online at http://biology.cornell.edu/research/opportunities. Research supervisors must approve by the Add Deadline, two weeks after the start of classes.  Each student must submit a project description as part of the application. Any Cornell faculty member whose research field is biological in nature may serve as supervisor for this course.  Non-Cornell supervisors are not acceptable"
BIOMG 1350,Introductory Biology: Cell and Developmental Biology,3,Stdnt Opt,"Fall, spring, summer",,,,"(BIO-AG, PBS-AS)",,,"The course introduces molecular mechanisms that underlie the organization, division, and growth of individual cells; how they organize during embryonic development to form functional tissues and organs in multicellular organisms; and how their misbehavior contributes to disease. The learning outcomes below indicate the topics and skills that students should master upon completion of the course"
BIOMG 2800,Lectures in Genetics and Genomics,3,Stdnt Opt,"Fall, spring, summer (eight-week session)",,,,(PBS-AS),,NTRES 2830,"General introduction to the fundamental principles of genetics in eukaryotes and bacteria. Topics include gene transmission, linkage, recombination, structure, mutations, and manipulation, as well as analysis of genomes in individuals and populations"
BIOMG 2801,Laboratory in Genetics and Genomics,2,Stdnt Opt,"Fall, spring, summer",,,,,,,"General introduction to laboratory experimental genetics in eukaryotes and bacteria.  Topics include gene transmission, linkage, recombination, structure, mutations, and manipulation"
BIOMG 3330,"Principles of Biochemistry: Proteins, Metabolism, and Molecular Biology",4,Stdnt Opt,Summer (six-week session),"one majors-level biology course and one year general chemistry, and any of the following organic chemistry courses:  CHEM 1570, or CHEM 3530, or CHEM 3570 or CHEM 3590, or equivalents, or permission of instructor",,BIOMG 3330,(PBS-AS),,"Students may receive credit for only one course in the following group: BIOMG 3300, BIOMG 3310-BIOMG 3320, BIOMG 3330, BIOMG 3350, NS 3200","Comprehensive introduction to biologically important molecules and polymers. Topics include protein structure and function, enzyme catalysis, metabolic regulatory pathways, DNA and RNA structure, DNA replication and repair, gene expression, protein synthesis, and modern DNA technologies. This is a summer session class taught in a lecture format"
BIOMI 1720,Biomedical Terminology,3,Graded,Summer,,,CLASS 1692,(HA-AS),,,"A study of the Greek and Latin word elements that combine to form most of the specialized terms in medicine, law, and biology. Students learning the meanings of these elements and the rules of word formation can usually recognize the basic meaning of any unfamiliar word in these fields. This skill is especially valuable for pre-law, pre-medical, pre-dental, pre-veterinary students and for those in other health and legal fields, as well as for students who would like to broaden their general vocabulary. This course would be excellent preparation for students prior to taking standardized test: e.g., SAT, GRE, MCAT, TOEFL, LSAT, etc"
BIOMI 2600,Microbiology of Human Contagious Diseases,3,Stdnt Opt,Spring,one semester of introductory biology or equivalent,,,(PBS-AS),,,"This course provides an introduction to the microbiology of microbial diseases. The primary focus is on molecular mechanisms of pathogenesis, including detection of the host environment, binding of pathogenic microbes to host cell surfaces and their invasion of host cells and tissues, and the delivery and functions of microbial toxins. It will include host defenses and microbial countermeasures against these defenses. We will also study the evolution of pathogens and the co-evolution of their hosts"
BIOMI 2900,General Microbiology Lectures,3-4,Graded,"Fall, spring, summer (six-week session)","two semesters majors-level biology and two semesters college-level chemistry, or equivalent. Highly recommended corequisite: BIOMI 2911",,,(PBS-AS),,,"Comprehensive overview of the biology of microorganisms, with emphasis on bacteria. Topics include microbial cell structure and function, physiology, metabolism, genetics, diversity, and ecology. Also covers applied aspects of microbiology such as biotechnology, the role of microorganisms in environmental processes, and medical microbiology"
BIONB 2210,Neurobiology and Behavior I: Introduction to Behavior,3-4,Stdnt Opt,"Fall, summer",two majors-level biology courses,,,"(OPHLS-AG, PBS-AS)",,,"General introduction to the field of animal behavior. Topics include evolution and behavior, behavioral ecology, sociobiology, chemical ecology, communication, orientation and navigation. BioNB2210 website"
BIONB 2220,Neurobiology and Behavior II: Introduction to Neuroscience,4,Stdnt Opt,"Spring, summer",one year of college level biology for majors (comparative physiology and/or cell and developmental biology are recommended) and one year of chemistry,,,"(OPHLS-AG, PBS-AS)",,"Students may receive credit for only one course in the following group: BIONB 2220, COGST 2230, PSYCH 2230","An introduction to neuroscience: the structure and function of the nervous system of humans and other animals. Topics include the cellular and molecular basis for cell signaling, the functions of neurons in communication and in decision making; neuroanatomy, neurochemistry, sensory systems, motor systems, neural development, learning and memory, and other complex brain functions. The course will emphasize how the nervous system is built during development, how it changes with experiences during life, how it functions in normal behavior, and how it is disrupted by injury and disease. Discussion sections will include a dissection of a preserved sheep brain. BioNB2220 website"
BIONB 3290,Field Animal Behavior,3,Stdnt Opt,Summer,one semester of college-level biology or equivalent,,BIOSM 3290,(PBS-AS),,,"Presents the ecological significance of behaviors of coastal organisms, with emphasis on field and laboratory research methods. Lectures and readings address the major subareas of behavior (communication, orientation, social behavior, foraging, predator avoidance, and sensory mechanisms). Each student engages in short-term behavioral observation and prepares a research proposal for studying a problem within the course subject area"
